CropType,Location,LandType,LandSize,Income,LoanName
Cotton,Gadag,Black cotton soil land,2.65,42072,Crop Loan
Banana,Hassan,Wetland,2.7,41546,Irrigation Loan
Maize,Gadag,Dryland,3.28,22227,Farm Mechanization Loan
Tea,Chikkamagaluru,Wetland,1.23,81997,Plantation Development Loan
Wheat,Kalaburagi,Irrigated,2.87,31969,PM Kisan Loan
Pulses,Bidar,Dryland,2.98,22421,Organic Farming Loan
Wheat,Vijayapura,Irrigated,2.6,33510,Crop Loan
Rice,Mysuru,Wetland,3.0,30814,Crop Loan
Mango,Kolar,Black cotton soil land,3.87,56681,Horticulture Loan
Sugarcane,Belagavi,Black cotton soil land,2.88,50610,Agricultural Term Loan
Coconut,Tumakuru,Coastal loamy,1.58,58766,Plantation Loan
Rice,Mysuru,Irrigated,1.27,30717,Crop Loan
Coffee,Kodagu,Wetland,0.69,83602,NABARD Loan
Maize,Gadag,Dryland,4.84,23107,Farm Mechanization Loan
Mango,Ramanagara,Black cotton soil land,3.22,56661,Organic Farming Loan
Tea,Chikkamagaluru,Hill slope,2.23,83358,NABARD Refinance Scheme
Pulses,Gadag,Dryland,3.62,23009,NABARD Loan
Pulses,Bidar,Dryland,1.29,20617,NABARD Loan
Coffee,Chikkamagaluru,Wetland,1.18,72696,Plantation Development Loan
Rice,Mandya,Wetland,2.88,30878,Crop Loan
Mango,Kolar,Dryland,1.07,39498,Horticulture Loan
Pulses,Raichur,Dryland,1.48,20818,PM Kisan Loan
Fish Farming,Dakshina Kannada,Wetland,1.36,63705,NABARD Infrastructure Loan
Tea,Chikkamagaluru,Wetland,1.42,85009,Plantation Development Loan
Millets,Ballari,Rainfed,2.6,17179,Soil Health Card Loan
Groundnut,Chikkaballapur,Black cotton soil land,4.48,32424,Crop Loan
Groundnut,Bengaluru Rural,Dryland,2.97,22758,Organic Farming Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.96,83904,Horticulture Loan
Cotton,Haveri,Dryland,4.13,35905,Kisan Credit Card
Silk,Kolar,Dryland,2.04,69382,NABARD Loan
Pulses,Bidar,Rainfed,3.65,22532,Organic Farming Loan
Pulses,Gadag,Dryland,1.32,22448,Organic Farming Loan
Mango,Chikkaballapur,Dryland,3.05,48700,Organic Farming Loan
Mango,Chikkaballapur,Black cotton soil land,3.1,40598,Horticulture Loan
Sugarcane,Belagavi,Black cotton soil land,5.79,46626,Farm Mechanization Loan
Cotton,Gadag,Dryland,4.5,44552,Kisan Credit Card
Coffee,Kodagu,Wetland,0.52,88456,Plantation Development Loan
Millets,Ballari,Rainfed,2.9,15783,PM Kisan Loan
Tea,Chikkamagaluru,Wetland,2.45,81439,Plantation Development Loan
Organic Vegetables,Tumakuru,Dryland,1.55,40210,Organic Farming Loan
Beekeeping,Shivamogga,Forest edge,0.85,58414,Agri Clinic Loan
Wheat,Vijayapura,Dryland,2.92,31654,PM Kisan Loan
Banana,Mandya,Wetland,2.28,47570,Irrigation Loan
Groundnut,Chikkaballapur,Dryland,2.35,32685,Crop Loan
Rice,Shivamogga,Wetland,2.41,32137,Crop Loan
Coconut,Udupi,Irrigated,1.11,44041,Agri Infrastructure Loan
Mango,Kolar,Dryland,3.8,37837,Horticulture Loan
Wheat,Kalaburagi,Dryland,2.16,30491,PM Kisan Loan
Banana,Hassan,Irrigated,2.71,42785,Irrigation Loan
Beekeeping,Kodagu,Forest edge,1.71,64369,Agri Clinic Loan
Floriculture,Tumakuru,Irrigated,1.06,74724,NABARD Loan
Cotton,Gadag,Dryland,3.73,39745,Pest Management Loan
Tea,Chikkamagaluru,Hill slope,1.68,91985,Plantation Development Loan
Groundnut,Tumakuru,Black cotton soil land,4.4,25653,Crop Loan
Beekeeping,Shivamogga,Dryland,1.85,51115,Agri Clinic Loan
Tea,Chikkamagaluru,Hill slope,2.18,93583,Plantation Development Loan
Beekeeping,Shivamogga,Dryland,1.83,65004,Agri Clinic Loan
Floriculture,Bengaluru Urban,Polyhouse,1.68,64395,NABARD Loan
Floriculture,Bengaluru Urban,Polyhouse,1.91,79520,NABARD Loan
Coconut,Dakshina Kannada,Coastal loamy,2.23,42866,Agri Infrastructure Loan
Beekeeping,Chamarajanagar,Dryland,1.4,50681,Agri Clinic Loan
Rice,Shivamogga,Irrigated,2.92,39749,Kisan Credit Card
Tea,Chikkamagaluru,Wetland,2.44,89969,Plantation Development Loan
